,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
28,0.486840,0.602428,0.442503,0.524234,0.623332,0.285862,0.571238,0.487292,0.325969,0.544060,0.550513,0.473414,0.363837,0.333380,0.421509,0.636372,0.365054,0.268871,0.294310,0.441365,0.315574,0.532882,0.473408,0.360720,0.533725,0.451714,0.478986,0.598237,1.000000,0.654410,0.545253,0.494878,0.531210,0.298146,0.570406,0.560264,0.589357,0.536954,0.565101,0.541809
29,0.691078,0.701881,0.512509,0.841087,0.700135,0.398795,0.693637,0.684535,0.552609,0.837072,0.793956,0.586027,0.407717,0.427248,0.731850,0.869838,0.356805,0.262887,0.361581,0.683430,0.718848,0.671380,0.572271,0.449019,0.846805,0.791337,0.763002,0.714881,0.654410,1.000000,0.848043,0.826344,0.720283,0.418018,0.716230,0.757056,0.736039,0.764974,0.757587,0.751442
30,0.649025,0.685784,0.551444,0.794843,0.721665,0.288351,0.607515,0.704731,0.529579,0.817228,0.700184,0.521585,0.246207,0.309040,0.697194,0.825880,0.297757,0.184360,0.253209,0.619287,0.757186,0.649317,0.501488,0.343661,0.693005,0.913883,0.851159,0.719643,0.545253,0.848043,1.000000,0.844057,0.761383,0.336752,0.574420,0.633869,0.625903,0.662656,0.667841,0.613004
31,0.717377,0.557095,0.652439,0.809485,0.669667,0.567803,0.674967,0.782958,0.714653,0.818263,0.782139,0.712255,0.511294,0.575229,0.839622,0.785786,0.514270,0.443899,0.512528,0.768725,0.809068,0.681766,0.644337,0.575539,0.806298,0.857437,0.926600,0.786653,0.494878,0.826344,0.844057,1.000000,0.562806,0.596248,0.675920,0.749223,0.662884,0.750642,0.792160,0.748792
32,0.498585,0.775492,0.398236,0.707951,0.739146,0.015723,0.528335,0.557889,0.218392,0.704743,0.590825,0.309323,0.030702,0.001837,0.452282,0.802450,0.115773,-0.042019,0.018390,0.474036,0.633406,0.652465,0.349669,0.144552,0.440967,0.643199,0.623206,0.595394,0.531210,0.720283,0.761383,0.562806,1.000000,0.109821,0.545687,0.564604,0.671415,0.672999,0.537239,0.569227
33,0.560960,0.116969,0.587718,0.470665,0.343525,0.808411,0.478606,0.506287,0.790603,0.483736,0.611522,0.738482,0.832277,0.818929,0.701437,0.319331,0.811171,0.816143,0.868549,0.734907,0.549867,0.566632,0.697696,0.812927,0.665511,0.487900,0.556454,0.528925,0.298146,0.418018,0.336752,0.596248,0.109821,1.000000,0.718369,0.712776,0.625259,0.668160,0.799512,0.695672
34,0.740581,0.597079,0.572310,0.700621,0.633730,0.667210,0.744740,0.665338,0.603863,0.665361,0.770666,0.715869,0.643172,0.614579,0.688858,0.675672,0.670799,0.627299,0.661412,0.791035,0.638727,0.768045,0.734355,0.717522,0.727720,0.587421,0.642585,0.652355,0.570406,0.716230,0.574420,0.675920,0.545687,0.718369,1.000000,0.921833,0.868471,0.818889,0.842826,0.937779
35,0.755158,0.578181,0.593281,0.740692,0.640667,0.643010,0.727708,0.677850,0.637620,0.719551,0.771220,0.732468,0.620879,0.602036,0.730315,0.709222,0.634729,0.589693,0.640543,0.833284,0.711781,0.760856,0.731772,0.694969,0.752809,0.643541,0.707115,0.682847,0.560264,0.757056,0.633869,0.749223,0.564604,0.712776,0.921833,1.000000,0.855312,0.825782,0.863764,0.908441
36,0.664912,0.624275,0.582719,0.723070,0.649263,0.541666,0.726574,0.658022,0.561535,0.682549,0.759016,0.659203,0.591395,0.545914,0.680810,0.709049,0.606408,0.501755,0.586648,0.737584,0.638354,0.789340,0.710025,0.654414,0.691892,0.622950,0.663939,0.675568,0.589357,0.736039,0.625903,0.662884,0.671415,0.625259,0.868471,0.855312,1.000000,0.881013,0.830760,0.857701
37,0.636789,0.525802,0.624071,0.759214,0.643983,0.559648,0.674285,0.697244,0.656551,0.737911,0.755971,0.708859,0.647852,0.603377,0.767220,0.700320,0.596987,0.525328,0.614223,0.762633,0.706538,0.753800,0.713214,0.665428,0.746842,0.682274,0.699782,0.671510,0.536954,0.764974,0.662656,0.750642,0.672999,0.668160,0.818889,0.825782,0.881013,1.000000,0.852921,0.841230
38,0.710581,0.503147,0.579833,0.706137,0.675271,0.677613,0.674331,0.657574,0.666483,0.693805,0.764176,0.724590,0.636359,0.637204,0.760735,0.705468,0.673049,0.582567,0.670140,0.799175,0.713617,0.786377,0.767418,0.743320,0.760361,0.672248,0.709448,0.686348,0.565101,0.757587,0.667841,0.792160,0.537239,0.799512,0.842826,0.863764,0.830760,0.852921,1.000000,0.881935
39,0.719315,0.585777,0.564097,0.722690,0.674441,0.653337,0.750560,0.696084,0.600767,0.679492,0.786895,0.722065,0.607675,0.610072,0.731868,0.752194,0.640762,0.564760,0.633990,0.792951,0.702141,0.806775,0.728050,0.724759,0.719554,0.612013,0.675296,0.697289,0.541809,0.751442,0.613004,0.748792,0.569227,0.695672,0.937779,0.908441,0.857701,0.841230,0.881935,1.000000
